pipeline,n,exact_pct,country_pct,continent_pct,cont_wrong_pct,no_result_pct
two_stage,216,35.6,13.9,5.1,26.4,19.0
refined,216,48.6,6.9,3.2,10.6,30.6
refined_search,216,50.0,8.3,4.2,16.7,20.8
gemma,216,44.4,29.6,7.9,16.2,1.9
groq_llama,216,37.0,31.0,6.5,15.3,10.2
groq_oss,216,51.9,23.6,4.6,12.0,7.9
refined_gemma,216,52.8,20.8,6.9,13.0,6.5
