mode,n,within_161km,acc_161km_pct,no_prediction,median_dist_km,mean_dist_km
two_stage,144,84,58.3,20,7.7,1483.1
refined,144,95,66.0,22,1.6,366.5
refined_search,144,100,69.4,15,1.3,434.7
refined_gemma,144,71,49.3,56,1.3,223.1
gemma,144,87,60.4,3,5.6,1624.5
